,table_A_ID,table_B_ID
0,0.0,4261.0
1,0.0,4532.0
2,0.0,4767.0
3,0.0,4942.0
4,0.0,5166.0
5,0.0,5362.0
6,1.0,5335.0
7,2.0,5335.0
8,3.0,1582.0
9,3.0,4767.0
10,3.0,5335.0
11,4.0,5335.0
12,5.0,501.0
13,5.0,717.0
14,5.0,1446.0
15,5.0,1622.0
16,5.0,1691.0
17,5.0,2670.0
18,5.0,3612.0
19,5.0,3992.0
20,5.0,4087.0
21,5.0,4461.0
22,5.0,4524.0
23,5.0,4595.0
24,5.0,4614.0
25,5.0,4633.0
26,5.0,4648.0
27,5.0,4767.0
28,5.0,4853.0
29,5.0,4900.0
30,5.0,4999.0
31,5.0,5335.0
32,5.0,5356.0
33,5.0,5364.0
34,6.0,4900.0
35,6.0,5335.0
36,7.0,5335.0
37,9.0,41.0
38,9.0,1011.0
39,9.0,1420.0
40,9.0,1622.0
41,9.0,4767.0
42,9.0,4900.0
43,9.0,4999.0
44,9.0,5304.0
45,9.0,5335.0
46,9.0,5356.0
47,10.0,4767.0
48,11.0,5335.0
49,12.0,5335.0
50,13.0,5335.0
51,14.0,4900.0
52,14.0,5335.0
53,16.0,5335.0
54,18.0,4767.0
55,18.0,4900.0
56,18.0,5335.0
57,19.0,4900.0
58,19.0,5335.0
59,21.0,4999.0
60,22.0,3809.0
61,22.0,4648.0
62,22.0,4767.0
63,22.0,4999.0
64,22.0,5335.0
65,23.0,5335.0
66,24.0,4900.0
67,24.0,5335.0
68,26.0,4767.0
69,26.0,5335.0
70,27.0,4614.0
71,27.0,4767.0
72,27.0,4900.0
73,27.0,5335.0
74,28.0,2104.0
75,28.0,4900.0
76,28.0,5335.0
77,29.0,4767.0
78,29.0,5335.0
79,29.0,5364.0
80,31.0,2205.0
81,31.0,4767.0
82,31.0,5335.0
83,32.0,5335.0
84,33.0,1622.0
85,33.0,2518.0
86,33.0,4767.0
87,33.0,5335.0
88,33.0,5356.0
89,37.0,5364.0
90,38.0,5335.0
91,39.0,4900.0
92,39.0,5335.0
93,40.0,59.0
94,40.0,125.0
95,40.0,426.0
96,40.0,439.0
97,40.0,687.0
98,40.0,981.0
99,40.0,1525.0
100,40.0,1528.0
101,40.0,1552.0
102,40.0,1561.0
103,40.0,1580.0
104,40.0,1582.0
105,40.0,1769.0
106,40.0,1991.0
107,40.0,2074.0
108,40.0,2157.0
109,40.0,2206.0
110,40.0,2250.0
111,40.0,2417.0
112,40.0,2522.0
113,40.0,2819.0
114,40.0,3741.0
115,40.0,3793.0
116,40.0,3877.0
117,40.0,3931.0
118,40.0,3944.0
119,40.0,4078.0
120,40.0,4175.0
121,40.0,4202.0
122,40.0,4401.0
123,40.0,4524.0
124,40.0,4574.0
125,40.0,4648.0
126,40.0,4667.0
127,40.0,4726.0
128,40.0,4809.0
129,40.0,4855.0
130,40.0,4867.0
131,40.0,4900.0
132,40.0,4942.0
133,40.0,4988.0
134,40.0,4999.0
135,40.0,5017.0
136,40.0,5049.0
137,40.0,5053.0
138,40.0,5138.0
139,40.0,5141.0
140,40.0,5315.0
141,40.0,5335.0
142,40.0,5344.0
143,40.0,5361.0
144,41.0,4900.0
145,41.0,5335.0
146,42.0,9.0
147,42.0,1580.0
148,42.0,1622.0
149,42.0,1665.0
150,42.0,1826.0
151,42.0,2206.0
152,42.0,3264.0
153,42.0,4206.0
154,42.0,4365.0
155,42.0,4855.0
156,42.0,4900.0
157,42.0,4964.0
158,42.0,4984.0
159,42.0,4997.0
160,42.0,5268.0
161,42.0,5335.0
162,42.0,5337.0
163,42.0,5348.0
164,42.0,5356.0
165,42.0,5361.0
166,43.0,275.0
167,43.0,717.0
168,43.0,1420.0
169,43.0,3843.0
170,43.0,4232.0
171,43.0,4524.0
172,43.0,4763.0
173,43.0,4767.0
174,43.0,4900.0
175,43.0,4941.0
176,43.0,4999.0
177,43.0,5062.0
178,43.0,5108.0
179,43.0,5169.0
180,43.0,5335.0
181,43.0,5361.0
182,44.0,4648.0
183,44.0,5335.0
184,45.0,4648.0
185,45.0,4767.0
186,46.0,5335.0
187,47.0,98.0
188,47.0,4705.0
189,48.0,4767.0
190,49.0,628.0
191,49.0,1551.0
192,49.0,1779.0
193,49.0,2074.0
194,49.0,2102.0
195,49.0,2234.0
196,49.0,2285.0
197,49.0,2297.0
198,49.0,3164.0
199,49.0,3208.0
200,49.0,3439.0
201,49.0,3794.0
202,49.0,3948.0
203,49.0,4221.0
204,49.0,4399.0
205,49.0,4533.0
206,49.0,4574.0
207,49.0,4589.0
208,49.0,4597.0
209,49.0,4669.0
210,49.0,4952.0
211,49.0,5335.0
212,50.0,4767.0
213,50.0,5335.0
214,51.0,9.0
215,51.0,717.0
216,51.0,764.0
217,51.0,787.0
218,51.0,1415.0
