_id,spoj_solve_rate_normalized,spoj_title,spoj_words,codechef_solve_rate_normalized,codechef_title,codechef_words,ltable_ID,rtable_ID,exact_title_match,diff_in_words_len,jaccard_sim,edit_dist,lr_pred_match
1257,-0.306566246505,CAPPIZZA,"  Brunno Doiuna is very fond of caper pizzas, which he always likes to share with his girlfriend. As she also loves capers, it is of the utmost importance, in order to avoid unnecessary quarrels, to split the pizza into two equally-sized slices in such a way that each half contains exactly the same number of capers. However, most caper pizzas also contain a number of peppercorns, and neither Brunno nor his girlfriend likes them. Therefore, it is also crucial that each of the two halves contain the same number of peppercorns. As you can easily observe, depending on the position of capers and peppercorns on the pizza, it is not always possible to make a straight-line cut into the pizza in such a way that the two slices have the same area and the same number of capers and peppercorns lie in each resulting piece. Your task is to design a program to decide if it is possible to make such a cut or not, knowing the positions of capers and peppercorns.     We will assume that the pizza is circular and is centered at the origin, and is big enough to contain all capers and peppercorns. We also assume that there is an even number of capers and an even number of  peppercorns, and that no cut goes through any of the capers or pepper balls. Additionally, no pair of peppercorns, capers, or a peppercorn and a caper are aligned with the origin, or form an angle of less than 10 6 degrees with the origin.  There can be multiple test cases, one after the other. The first line of a test case contains two even integers c  0 and p  0 (where 2  c + p  30000) separated by a space, the number of capers and peppercorns, respectively. Each of the following c lines describes the position of a caper using two floating point numbers, separated by a space, representing its x and y coordinates. Each of the next p lines holds two floating point numbers, the x and y coordinates of a peppercorn. A blank line follows each test case.  The last line of input will contain 1 1. This marks the end of input  do not write any output for this special last line.     YES for a positive answer, NO otherwise.    Sample Input   2 2
1 1
1 0
0 1
-1 1

2 2
1 1
-1 1
0 1
0.1 -1

-1 -1     Sample Output   NO
YES        Problemsetter: Manuel Abellanas ",-0.208318844396,CDS008,"Brunno Doiuna is very fond of caper pizzas, which he always likes to share with his girlfriend. As she also loves capers, it is of the utmost importance, in order to avoid unnecessary quarrels, to split the pizza into two equally-sized slices in such a way that each half contains exactly the same number of capers. However, most caper pizzas also contain a number of peppercorns, and neither Brunno nor his girlfriend likes them. Therefore, it is also crucial that each of the two halves contain the same number of peppercorns. As you can easily observe, depending on the position of capers and peppercorns on the pizza, it is not always possible to make a straight-line cut into the pizza in such a way that the two slices have the same area and the same number of capers and peppercorns lie in each resulting piece. Your task is to design a program to decide if it is possible to make such a cut or not, knowing the positions of capers and peppercorns.We will assume that the pizza is circular and is centered at the origin, and is big enough to contain all capers and peppercorns. We also assume that there is an even number of capers and an even number of peppercorns, and that no cut goes through any of the capers or pepper balls. Additionally, no pair of peppercorns, capers, or a peppercorn and a caper are aligned with the origin, or form an angle of less than 10-6 degrees with the origin.There can be multiple test cases, one after the other. The first line of a test case contains two even integers c>=0 and p>=0 (where 2<=c + p<=30000) separated by a space, the number of capers and peppercorns, respectively. Each of the following c lines describes the position of a caper using two floating point numbers, separated by a space, representing its x and y coordinates. Each of the next p lines holds two floating point numbers, the x and y coordinates of a peppercorn. A blank line follows each test case.The last line of input will contain `-1 -1'. This marks the end of input -- do not write any output for this special last line.`YES' for a positive answer, `NO' otherwise.",31,2205,0,65,0.802752293578,7,1
1735,6.7178504657,FASHION,"  A fashion show rates participants according to their level of hotness.  Two different fashion shows were organized, one for men and the other for women. A date for the third is yet to be decided ;) .  Now the results of both fashion shows are out.  The participants of both the fashion shows have decided to date each other, but as usual they have difficuly in choosing their partners. The Maximum Match dating serive (MMDS) comes to their rescue and matches them in such a way that that maximizes the hotness bonds for all couples.  If a man has been rated at hotness level x and a women at hotness level y , the value of their hotness bond is x*y .  Both fashion shows contain N participants each. MMDS has done its job and your job is to find the sum of hotness bonds for all the couples that MMDS has proposed.   The first line of the input contains an integer t , the number of test cases. t test cases follow.  Each test case consists of 3 lines:   The first line contains a single integer N (1 N The second line contains N integers separated by single spaces denoting the hotness levels of the men.  The third line contains N integers separated by single spaces denoting the hotness levels of the women.   All hotness ratings are on a scale of 0 to 10.   For each test case output a single line containing a single integer denoting the sum of the hotness bonds for all pairs that MMDS has proposed.  Example   Input: 2
2
1 1
3 2
3
2 3 2
1 3 2 Output: 5
15 ",-0.2011808442,CDSE03," A quiz show rates participants according to their level intelligence. Twodifferent quiz shows were organized, one for boys and the other for girls.
Now the results of both quiz shows are out. The participants of both the showshave decided to date each other, but as usual they have difficulty in choosingtheir partners. The Maximum Match dating service (MMDS) comes to their rescueand matches them in such a way that that maximizes the intelligence bonds forall couples.
If a boy has been rated at intelligence level x and a girl at intelligencelevel y, the value of their intelligence bond is x*y.
Both shows contain N participants each. MMDS has done its job and your job isto find the sum of intelligence bonds for all the couples that MMDS hasproposed. The first line of the input contains an integer t, the number of test cases.t test cases follow.Each test case consists of 3 lines:The first line contains a single integer N (1 <= N <= 1000).The second line contains N integers separated by single spaces denoting the intelligence levels of the boys.The third line contains N integers separated by single spaces denoting the intelligence levels of the girls.
All intelligence ratings are on a scale of 0 to 10.For each test case output a single line containing a single integer denotingthe sum of the intelligence bonds for all pairs that MMDS has proposed.",74,282,0,65,0.573964497041,6,1
1736,6.7178504657,FASHION,"  A fashion show rates participants according to their level of hotness.  Two different fashion shows were organized, one for men and the other for women. A date for the third is yet to be decided ;) .  Now the results of both fashion shows are out.  The participants of both the fashion shows have decided to date each other, but as usual they have difficuly in choosing their partners. The Maximum Match dating serive (MMDS) comes to their rescue and matches them in such a way that that maximizes the hotness bonds for all couples.  If a man has been rated at hotness level x and a women at hotness level y , the value of their hotness bond is x*y .  Both fashion shows contain N participants each. MMDS has done its job and your job is to find the sum of hotness bonds for all the couples that MMDS has proposed.   The first line of the input contains an integer t , the number of test cases. t test cases follow.  Each test case consists of 3 lines:   The first line contains a single integer N (1 N The second line contains N integers separated by single spaces denoting the hotness levels of the men.  The third line contains N integers separated by single spaces denoting the hotness levels of the women.   All hotness ratings are on a scale of 0 to 10.   For each test case output a single line containing a single integer denoting the sum of the hotness bonds for all pairs that MMDS has proposed.  Example   Input: 2
2
1 1
3 2
3
2 3 2
1 3 2 Output: 5
15 ",-0.200869813267,VITC04,"Vibrance rates participants according to their level of hotness. Two different fashion shows were organized, one for men and the other for women. A date for the third is yet to be decided ;) .



Now the results of both fashion shows are out. The participants of both the fashion shows have decided to date each other, but as usual they have difficulty in choosing their partners. The Maximum Match dating service (MMDS) comes to their rescue and matches them in such a way that that maximizes the hotness bonds for all couples.



If a man has been rated at hotness level x and a women at hotness level y, the value of their hotness bond is x*y.



Both fashion shows contain N participants each. MMDS has done its job and your job is to find the sum of hotness bonds for all the couples that MMDS has proposed.The first line of the input contains an integer t, the number of test cases. t test cases follow.


Each test case consists of 3 lines:The first line contains a single integer N (1 ≤ N ≤ 1000).
The second line contains N integers separated by single spaces denoting the hotness levels of the men.
The third line contains N integers separated by single spaces denoting the hotness levels of the women.All hotness ratings are on a scale of 0 to 10.For each test case output a single line containing a single integer denoting the sum of the hotness bonds for all pairs that MMDS has proposed.",74,2885,0,44,0.716129032258,7,1
1856,-0.0365521786432,COINTOSS,"    You have an unbiased coin which you want to keep tossing till you get N consecutive heads. You've already tossed the coin M times already and surprisingly, all tosses resulted in heads. What is the expected number of tosses needed till you get N consecutive heads?  For example, if N = 2 and M = 0. You need to keep tossing the coin till you get 2 consecutive heads. It is not hard to show that on an average, 6 coin tosses are needed.  As another example, if N = 2 and M = 1. You need 2 consecutive heads and have already got 1. In your first toss, if you get get a heads, you are done. Otherwise, you need to keep tossing the coin till you get 2 consecutive heads. The expected number of coin tosses is thus 1 + (0.5 * 0 + 0.5 * 6) = 4.0  Input:  The first line contains the number of cases T. Each of the next T lines contains two numbers N and M.  Output:  Output T lines containing the answer for the corresponding test case. Print the answer rounded to exactly 2 decimal places.  Constraints:  1 <= T <= 100  1 <= N <= 1000  0 <= M <= N  Sample Input:  4  2 0  2 1  3 3  3 2  Sample Output:  6.00  4.00  0.00  8.00  Explanation:  The first two samples are explained above. For the third case, you already have got 3 heads, so you do not need any more tosses.    You have an unbiased coin which you want to keep tossing till you get N consecutive heads. You've already tossed the coin M times already and surprisingly, all tosses resulted in heads. What is the expected number of tosses needed till you get N consecutive heads?    For example, if N = 2 and M = 0. You need to keep tossing the coin till you get 2 consecutive heads. It is not hard to show that on an average, 6 coin tosses are needed.    As another example, if N = 2 and M = 1. You need 2 consecutive heads and have already got 1. In your first toss, if you get get a heads, you are done. Otherwise, you need to keep tossing the coin till you get 2 consecutive heads. The expected number of coin tosses is thus 1 + (0.5 * 0 + 0.5 * 6) = 4.0    Input:  The first line contains the number of cases T. Each of the next T lines contains two numbers N and M.    Output:  Output T lines containing the answer for the corresponding test case. Print the answer rounded to exactly 2 decimal places.    Constraints:  1 <= T <= 100  1 <= N <= 1000  0 <= M <= N    Sample Input:  4  2 0  2 1  3 3  3 2    Sample Output:  6.00  4.00  0.00  8.00    Explanation:  The first two samples are explained above. For the third case, you already have got 3 heads, so you do not need any more tosses.     ",-0.203308897441,SOPC04,"You have an unbiased coin which you want to keep tossing until you get N consecutive heads. You've tossed the coin M times and surprisingly, all tosses resulted in heads. What is the expected number of additional tosses needed until you get N consecutive heads?The first line contains the number of cases T. Each of the next T lines contains two numbers N and M.Output T lines containing the answer for the corresponding test case. Print the answer rounded to exactly 2 decimal places.",102,3241,0,496,0.433070866142,7,1
1903,-0.130034132101,HIGH,"  In some countries building highways takes a lot of time... Maybe that's because there are many possiblities to construct a network of highways and engineers can't make up their minds which one to choose. Suppose we have a list of cities that can be connected directly. Your task is to count how many ways there are to build such a network that between every two cities there exists exactly one path. Two networks differ if there are two cities that are connected directly in the first case and aren't in the second case. At most one highway connects two cities. No highway connects a city to itself. Highways are two-way.   The input begins with the integer t, the number of test cases (equal to about 1000). Then t test
cases follow.
The first line of each test case contains two integers, the number of cities (1  The number of ways to build the network, for every test case in a separate line. Assume that when there is only one city, the answer should be 1. The answer will fit in a signed 64-bit integer.  Example  Sample input: 4
4 5
3 4
4 2
2 3
1 2
1 3

2 1
2 1

1 0

3 3
1 2
2 3
3 1 Sample output: 8
1
1
3 ",-0.204792899978,HIGH,"In some countries building highways takes a lot of time... Maybe that's because there are many possiblities to construct a network of highways and engineers can't make up their minds which one to choose. Suppose we have a list of cities that can be connected directly. Your task is to count how many ways there are to build such a network that between every two cities there exists exactly one path. Two networks differ if there are two cities that are connected directly in the first case and aren't in the second case. At most one highway connects two cities. No highway connects a city to itself. Highways are two-way. A path X-Y-W-A is the same as the path A-Y-W-A.The input is to be read from the standard input of your program. It begins with an integer 't', the number of test cases (equal to about 1000), followed by a new line, followed by the 't' test cases.The first line of each test case contains two integers, the number of cities (1<=n<=12) and the number of direct connections between them. Each next line contains two integers, which are the specific numbers of cities that can be connected. Cities are numbered from 1 to n. Consecutive test cases are separated with one blank line. The last line of input is terminated by a newline.The number of ways to build the network, for every test case in a separate line. Assume that when there is only one city, the answer should be 1. The answer will fit in a signed 64-bit integer.",119,4537,1,50,0.633136094675,0,1
1909,-0.280494860749,IOPC1200,"  It is after years that Dystopian Institute of Technology has got funds for upgrading their computers. However, the people in charge of the upgrade have decided to make this a chance to fill their own pockets rather.  There are N computers in the DIT network, numbered 0 to N-1. Computer 0 is the main server which connects the network to the outer world. Some pairs of the computers are directly connected in the network. For other pair of computers to communicate with each other, they have to do it via some other computer. For example, if there are only 3 computers in the network and the only direct connections are 0-1 and 0-2, then 1 communicates with 2 using 0 as intermediate. There is no limit on the number of intermediate computers to be used for communication between a pair. Now, since the DIT network was built on the principle of minimum expenditure, the N computers have been made pairwise connected by using the minimum number of direct connections - ie, N-1.  The upgrade contractor has decided to not do the work properly but pocket the entire funds instead. However, to show that he has done something, he will rearrange the computers. For example he could move the computer number 3 to where 2 was earlier, 2 to 1, 1 to 3, 4 to 5 and 5 to 4. The computer number 0 is special and cannot be moved. Direct connections between computers depend on the locations though. Hence if there was a direct connection earlier between 3 and 5, it will now be between 1 and 4 (since they have been placed at the locations 3 and 5 were at earlier). However, he has noticed something strange : the new direct connection between computers i and j works if and only if there was a direct connection between i and j earlier. Hence he wants to rearrange the computers in such a way that the pairs of computers which are connected directly now are the same pairs which were connected earlier.  Given the computer network, count the number of ways the computers can be rearranged satisfying the conditions.   The first line of the input contains T, the number of test cases (T  10). Following this are the descriptions of the test cases. Each description starts with a line containing the integer N, the number of computers in the network (1  N  10000). This is followed by N-1 lines, each containing a pair of integers i and j, denoting that computer i is directly connected to computer j. It is assured that these N-1 direct connections will make every pair of computers connected (via intermediates if needed).   For each test case, output the number of rearrangements of the computers. A rearrangement (p 0 ,p 1 ,p 2 ...p N-1 ) of (0,1,2...N-1) is valid if the following conditions are satisfied:   p 0 =0  If there is a direct connection between i and j, there should also be a direct connection between p i and p j   Notice that (0,1,2...N-1) is considered a valid rearrangement of itself. Also, since the answer could be very big, output it modulo 1000000007  Example  Input: 1
6
0 1
0 2
0 3
3 4
3 5 Output: 4 ",-0.207985863641,IOPC1200,"It is after years that Dystopian Institute of Technology has got funds for upgrading their computers. However, the people in charge of the upgrade have decided to make this a chance to fill their own pockets rather.There are N computers in the DIT network, numbered 0 to N-1. Computer 0 is the main server which connects the network to the outer world. Some pairs of the computers are directly connected in the network. For other pair of computers to communicate with each other, they have to do it via some other computer. For example, if there are only 3 computers in the network and the only direct connections are 0-1 and 0-2, then 1 communicates with 2 using 0 as intermediate. There is no limit on the number of intermediate computers to be used for communication between a pair. Now, since the DIT network was built on the principle of minimum expenditure, the N computers have been made pairwise connected by using the minimum number of direct connections - ie, N-1.The upgrade contractor has decided to not do the work properly but pocket the entire funds instead. However, to show that he has done something, he will rearrange the computers. For example he could move the computer number 3 to where 2 was earlier, 2 to 1, 1 to 3, 4 to 5 and 5 to 4. The computer number 0 is special and cannot be moved. Direct connections between computers depend on the locations though. Hence if there was a direct connection earlier between 3 and 5, it will now be between 1 and 4 (since they have been placed at the locations 3 and 5 were at earlier). However, he has noticed something strange : the new direct connection between computers i and j works if and only if there was a direct connection between i and j earlier. Hence he wants to rearrange the computers in such a way that the pairs of computers which are connected directly now are the same pairs which were connected earlier.Given the computer network, count the number of ways the computers can be rearranged satisfying the conditions.The first line of the input contains T, the number of test cases (T ≤ 10). Following this are the descriptions of the test cases. Each description starts with a line containing the integer N, the number of computers in the network (1 ≤ N ≤ 10000). This is followed by N-1 lines, each containing a pair of integers i and j, denoting that computer i is directly connected to computer j. It is assured that these N-1 direct connections will make every pair of computers connected (via intermediates if needed).For each test case, output the number of rearrangements of the computers. A rearrangement (p0,p1,p2...pN-1) of (0,1,2...N-1) is valid if the following conditions are satisfied:p0=0
If there is a direct connection between i and j, there should also be a direct connection between pi and pjNotice that (0,1,2...N-1) is considered a valid rearrangement of itself. Also, since the answer could be very big, output it modulo 1000000007",125,2440,1,47,0.873015873016,0,1
1922,-0.277441684046,IOPC1201,"  The Rubik's cube is perhaps the world's most popular intellectual toy. More than just the joy of solving, there is a lot of mathematics to it too.  Consider a solved Rubik's cube. The six faces of the cube are named FRONT, BACK, UP, DOWN, LEFT and RIGHT respectively. An elementary move of the Rubik's cube is rotating a face by 90 degrees clockwise, 90 degrees anticlockwise or 180 degrees about an axis from the centre of the face to the centre of the cube. Any valid state of the Rubik's cube can be reached by applying these elementary operations one after the other.  An elementary move is denoted in the following fashion. If a given face is rotated by 90 degrees clockwise about the axis passing from the centre of the face to the centre of the cube, the move is denoted by the first letter of the name of the face. If the rotation is anticlockwise by 90 degrees, the letter is followed by an apostrophe ('). If the rotation is by 180 degrees, the letter is followed by a 2.  For example, a 90 degree clockwise rotation of the right face is denoted by R , a 90 degree anticlockwise rotation of the back face by B' and a 180 degree rotation of the top face by U2 . The elementary moves are explained with the help of animations in the ""Face turns"" section of this page . The elementary moves can be combined to get a compound move of the cube. For example, URF2 denotes rotating the top face by 90 degrees clockwise, then the right face by 90 degrees clockwise followed by the front face by 180 degrees.  In this problem you will be given a string describing a sequence of elementary moves on a solved Rubik's cube. Your task is to find out the number of times the sequence should be applied repeatedly to the cube to get back the original cube.   The first line of input gives T, the number of test cases (1T1000). Following this are T lines, each containing a string denoting a sequence of moves on the Rubik's cube. The string will contain only the characters U, D, L, R, F, B, ' and 2, and will be at most 1000 characters long. It is assured to be a valid sequence of elementary moves.   For each test case, output the minimum number of times (1) the move sequence must be applied to a solved Rubik's cube to get back the solved cube again.  Example  Input: 4
R
RR2
RU
R2R'R' Output: 4
4
105
1 ",-0.206945039534,IOPC1201,"The Rubik's cube is perhaps the world's most popular intellectual toy. More than just the joy of solving, there is a lot of mathematics to it too.Consider a solved Rubik's cube. The six faces of the cube are named FRONT, BACK, UP, DOWN, LEFT and RIGHT respectively. An elementary move of the Rubik's cube is rotating a face by 90 degrees clockwise, 90 degrees anticlockwise or 180 degrees about an axis from the centre of the face to the centre of the cube. Any valid state of the Rubik's cube can be reached by applying these elementary operations one after the other.An elementary move is denoted in the following fashion. If a given face is rotated by 90 degrees clockwise about the axis passing from the centre of the face to the centre of the cube, the move is denoted by the first letter of the name of the face. If the rotation is anticlockwise by 90 degrees, the letter is followed by an apostrophe ('). If the rotation is by 180 degrees, the letter is followed by a 2.For example, a 90 degree clockwise rotation of the right face is denoted by R, a 90 degree anticlockwise rotation of the back face by B' and a 180 degree rotation of the top face by U2. The elementary moves are explained with the help of animations in the ""Face turns"" section of this page. The elementary moves can be combined to get a compound move of the cube. For example, URF2 denotes rotating the top face by 90 degrees clockwise, then the right face by 90 degrees clockwise followed by the front face by 180 degrees.In this problem you will be given a string describing a sequence of elementary moves on a solved Rubik's cube. Your task is to find out the number of times the sequence should be applied repeatedly to the cube to get back the original cube.The first line of input gives T, the number of test cases (1≤T≤1000). Following this are T lines, each containing a string denoting a sequence of moves on the Rubik's cube. The string will contain only the characters U, D, L, R, F, B, ' and 2, and will be at most 1000 characters long. It is assured to be a valid sequence of elementary moves.For each test case, output the minimum number of times (≥1) the move sequence must be applied to a solved Rubik's cube to get back the solved cube again.",127,340,1,27,0.839572192513,0,1
2065,-0.255987935925,IOPC1202,"  You are given the coordinates of the vertices of a square in the 2-d plane. All vertex coordinates will be integers.  Now consider all convex quadrilaterals which also have integer coordinates for their vertices such that the midpoints of their edges are the vertices of the original square. Find the sum of areas of all such quadrilaterals.   The first line of input gives T, the number of test cases (1T25000). Following this are the descriptions of the individual testcases. Each testcase consists of four lines, each line containing two space separated integers - the x and y coordinates of a distinct vertex of the square. The coordinate limits are -1000000000x i ,y i 1000000000. It is assured that the four vertices will correspond to a square.   For each testcase output the total area of quadrilaterals with the given property. Since the answer could be very large, give the answer modulo 100000007.  Example  Input: 2
0 0
1 1
1 0
0 1
0 1
1 0
0 -1
-1 0 Output: 0
4 ",-0.205900044972,IOPC1202,"You are given the coordinates of the vertices of a square in the 2-d plane. All vertex coordinates will be integers.Now consider all convex quadrilaterals which also have integer coordinates for their vertices such that the midpoints of their edges are the vertices of the original square. Find the sum of areas of all such quadrilaterals.The first line of input gives T, the number of test cases (1≤T≤25000). Following this are the descriptions of the individual testcases. Each testcase consists of four lines, each line containing two space separated integers - the x and y coordinates of a distinct vertex of the square. The coordinate limits are -1000000000≤xi,yi≤1000000000. It is assured that the four vertices will correspond to a square.For each testcase output the total area of quadrilaterals with the given property. Since the answer could be very large, give the answer modulo 100000007.",131,2962,1,30,0.765765765766,0,1
2066,-0.162250054695,IOPC1203,"  You must be familiar with the use of numeric k ey s to enter alp habets in mobile phones. A single numeric key when pressed gives a character. W hen pressed again, it changes to another and so on. Once the set of characters mapped to the key is exhausted, the key wraps around to the original characte r .  The key mapping in this problem is the T9 mapping, restricted to lowercase english characters. The characters corresponding to the individual keys are:   2: a,b,c  3: d,e,f  4: g,h,i  5: j,k,l  6: m,n,o  7: p,q,r,s  8: t,u,v  9: w,x,y,z   For example, if you press the key 2 once, it prints the character 'a'. On pressing it again, it becomes 'b', then 'c', then back to 'a' and so on.  Consider a string made of lowercase letters only. To enter this string into a mobile phone, a certain key sequence has to be entered with sufficient gaps in between. Suppose that the key sequence entered is correct but the gaps between keypresses are made arbitrarily. This can result in very different strings being printed.  For example, let the string to be input be ""mod"". The key sequence corresponding to this is 6_6663 where '_' denotes a gap between the keypresses. Suppose the keys are pressed in the same order, but with gaps between keypresses arbitrary. This can result in 8 different strings: ""mod"", ""nnd"", ""omd"", ""mmmmd"", ""mnmd"", ""mmnd"", ""nmmd"" and ""md"".  Given an input string, Find the number of possible strings printed by the key sequence corresponding to it.   The first line of the input consists of T, the number of testcases (1T10). Following this are T lines, each containing a string. The string will consist only of lowercase letters and will have a maximum length of 100000   For each string, output the number of strings corresponding to its key sequence. Since the answer can be very big, output it modulo 100000007  Example  Input: 2
mod
iopc Output: 8
64 ",-0.201371735222,IOPC1203,"You must be familiar with the use of numeric keys to enter alphabets in mobile phones. A single numeric key when pressed gives a character. When pressed again, it changes to another and so on. Once the set of characters mapped to the key is exhausted, the key wraps around to the original character.The key mapping in this problem is the T9 mapping, restricted to lowercase english characters. The characters corresponding to the individual keys are:2: a,b,c
3: d,e,f
4: g,h,i
5: j,k,l
6: m,n,o
7: p,q,r,s
8: t,u,v
9: w,x,y,zFor example, if you press the key 2 once, it prints the character 'a'. On pressing it again, it becomes 'b', then 'c', then back to 'a' and so on.Consider a string made of lowercase letters only. To enter this string into a mobile phone, a certain key sequence has to be entered with sufficient gaps in between. Suppose that the key sequence entered is correct but the gaps between keypresses are made arbitrarily. This can result in very different strings being printed.For example, let the string to be input be ""mod"". The key sequence corresponding to this is 6_6663 where '_' denotes a gap between the keypresses. Suppose the keys are pressed in the same order, but with gaps between keypresses arbitrary. This can result in 8 different strings: ""mod"", ""nnd"", ""omd"", ""mmmmd"", ""mnmd"", ""mmnd"", ""nmmd"" and ""md"".Given an input string, Find the number of possible strings printed by the key sequence corresponding to it.The first line of the input consists of T, the number of testcases (1≤T≤10). Following this are T lines, each containing a string. The string will consist only of lowercase letters and will have a maximum length of 100000For each string, output the number of strings corresponding to its key sequence. Since the answer can be very big, output it modulo 100000007",132,3375,1,50,0.717703349282,0,1
2469,-0.247791324449,IOPC1204,"  A function f is defined over natural numbers as:  f(N) =  d i (d i )  Here the summation is over d i , all positive integers which are factors of N.  (n) is the Mbius function defined in the following way: If there exists a prime p such that p 2 is a factor of n , then (n)=0 . Otherwise, if n has an odd number of prime factors, (n)=-1 . If not, (n)=1 . Thus the first few values for (n) (starting from 1) are 1, -1, -1, 0, -1, 1, -1, 0...  Given an integer X (0 <= X <= 10 12 ), find the smallest natural number N such that |f(N)|>X.   The first line of the input contains T, the number of test cases (T <= 1000). Following this are T lines, each containing an integer X (0 <= X <= 10 12 ) corresponding to the test case.   For each test case in the input, output the smallest natural number N such that  |f(N)|>X.  Example  Input: 2
1
2 Output: 3
5 ",-0.206591156904,IOPC1204,"A function f is defined over natural numbers as:f(N) = ∑ di μ(di)Here the summation is over di, all positive integers which are factors of N.μ(n) is the Möbius function defined in the following way: If there exists a prime p such that p2 is a factor of n, then μ(n)=0. Otherwise, if n has an odd number of prime factors, μ(n)=-1. If not, μ(n)=1. Thus the first few values for μ(n) (starting from 1) are 1, -1, -1, 0, -1, 1, -1, 0...Given an integer X (0 <= X <= 1012), find the smallest natural number N such that |f(N)|>X.The first line of the input contains T, the number of test cases (T <= 1000). Following this are T lines, each containing an integer X (0 <= X <= 1012) corresponding to the test case.For each test case in the input, output the smallest natural number N such that |f(N)|>X.",146,2841,1,39,0.619047619048,0,1
